Line #1,,,Line #2,
,,,,
5.62E-01,3.64E+02,,5.60E-01,4.80E+02
7.48E-01,3.41E+02,,7.95E-01,4.50E+02
9.97E-01,3.15E+02,,9.95E-01,4.27E+02
1.22E+00,2.96E+02,,1.21E+00,4.06E+02
1.49E+00,2.79E+02,,1.48E+00,3.82E+02
1.74E+00,2.66E+02,,1.71E+00,3.65E+02
2.00E+00,2.54E+02,,1.98E+00,3.48E+02
2.25E+00,2.45E+02,,2.22E+00,3.33E+02
2.50E+00,2.36E+02,,2.48E+00,3.20E+02
2.74E+00,2.28E+02,,2.76E+00,3.07E+02
3.00E+00,2.21E+02,,3.00E+00,2.96E+02
3.29E+00,2.12E+02,,3.29E+00,2.85E+02
3.56E+00,2.05E+02,,3.54E+00,2.77E+02
3.76E+00,2.00E+02,,3.86E+00,2.66E+02
4.01E+00,1.94E+02,,4.28E+00,2.53E+02
