Line #1,,,Line #2,,,Line #3,,,Line #4,
,,,,,,,,,,
1.88E+02,1.27E+02,,2.17E+02,1.75E+02,,2.25E+02,1.47E+02,,1.84E+02,1.55E+02
2.37E+02,1.40E+02,,3.39E+02,2.12E+02,,3.68E+02,1.98E+02,,3.19E+02,2.12E+02
2.94E+02,1.56E+02,,4.74E+02,2.53E+02,,4.37E+02,2.23E+02,,4.37E+02,2.58E+02
3.51E+02,1.70E+02,,6.21E+02,3.01E+02,,5.35E+02,2.56E+02,,5.27E+02,2.95E+02
4.21E+02,1.90E+02,,7.52E+02,3.44E+02,,6.86E+02,3.07E+02,,6.25E+02,3.35E+02
4.94E+02,2.10E+02,,8.95E+02,3.92E+02,,8.09E+02,3.50E+02,,7.44E+02,3.81E+02
5.72E+02,2.31E+02,,1.02E+03,4.33E+02,,9.36E+02,3.92E+02,,8.50E+02,4.21E+02
6.54E+02,2.52E+02,,1.15E+03,4.79E+02,,1.07E+03,4.36E+02,,9.36E+02,4.54E+02
7.40E+02,2.76E+02,,1.26E+03,5.18E+02,,1.21E+03,4.84E+02,,1.05E+03,4.99E+02
8.21E+02,2.98E+02,,1.39E+03,5.67E+02,,1.35E+03,5.29E+02,,1.16E+03,5.38E+02
9.11E+02,3.22E+02,,1.51E+03,6.12E+02,,1.48E+03,5.73E+02,,1.28E+03,5.85E+02
1.01E+03,3.50E+02,,1.64E+03,6.59E+02,,1.61E+03,6.16E+02,,1.39E+03,6.26E+02
1.11E+03,3.79E+02,,1.75E+03,7.06E+02,,1.74E+03,6.61E+02,,1.50E+03,6.67E+02
1.23E+03,4.13E+02,,1.85E+03,7.47E+02,,1.89E+03,7.09E+02,,1.62E+03,7.14E+02
1.34E+03,4.46E+02,,1.96E+03,7.95E+02,,2.01E+03,7.50E+02,,1.73E+03,7.55E+02
1.45E+03,4.81E+02,,2.08E+03,8.51E+02,,,,,1.82E+03,7.88E+02
1.59E+03,5.27E+02,,2.20E+03,9.10E+02,,,,,1.93E+03,8.32E+02
1.70E+03,5.65E+02,,,,,,,,2.08E+03,8.90E+02
1.83E+03,6.08E+02,,,,,,,,,
1.96E+03,6.59E+02,,,,,,,,,
2.08E+03,7.07E+02,,,,,,,,,
