Line #1,,,Line #2,,,
,,,,,,
7.779056E-01,1.829596E+01,,6.398159E-01,9.686099E+00,,
9.758343E-01,5.381166E+01,,8.469505E-01,3.659193E+01,,
1.196778E+00,1.108520E+02,,1.090909E+00,8.717489E+01,,
1.445339E+00,1.947982E+02,,1.233602E+00,1.248430E+02,,
1.578826E+00,2.410762E+02,,1.399310E+00,1.775785E+02,,
1.744534E+00,3.034978E+02,,1.569620E+00,2.378475E+02,,
1.914845E+00,3.713004E+02,,1.680092E+00,2.787444E+02,,
2.085155E+00,4.434081E+02,,1.790564E+00,3.217937E+02,,
2.237054E+00,5.069058E+02,,1.905639E+00,3.669955E+02,,
2.347526E+00,5.553363E+02,,2.006904E+00,4.089686E+02,,
2.448792E+00,5.983857E+02,,2.117376E+00,4.563229E+02,,
2.545455E+00,6.414350E+02,,2.223245E+00,5.004484E+02,,
2.651323E+00,6.866368E+02,,2.338320E+00,5.510314E+02,,
2.775604E+00,7.404484E+02,,2.448792E+00,5.994619E+02,,
2.895282E+00,7.921076E+02,,2.536249E+00,6.371300E+02,,
3.005754E+00,8.383857E+02,,2.669735E+00,6.963229E+02,,
3.171461E+00,9.072646E+02,,2.803222E+00,7.533632E+02,,
3.332566E+00,9.729148E+02,,2.927503E+00,8.060987E+02,,
3.466053E+00,1.025650E+03,,3.056387E+00,8.599103E+02,,
3.581128E+00,1.070852E+03,,3.199079E+00,9.191031E+02,,
,,,3.364787E+00,9.858296E+02,,
,,,,,,
,,,,,,
,,,,,,
